model,eval_country,country,item_id,gps_dimension,prompt,chosen,rejected,generated_answer,ref_chosen_logp,ref_rejected_logp,adapter_chosen_logp,adapter_rejected_logp,ref_margin,adapter_margin,dpo_reward_delta,dpo_pref_prob,dpo_prefers_chosen,bank,model_country
BRA_adapter,BRA,BRA,BRA_eval_0010,negative_reciprocity,"Context: After completing a joint art project, my collaborator decides to enter it into a competition under their name alone, without discussing it with me. Decision: I can protest this decision and demand fair recognition or let it go to avoid a dispute. Trade-off: Insisting on co-credit for the project ensures fairness and acknowledges my contribution, but it may lead to a dispute that could harm our collaborative relationship.","I let my collaborator take the credit without saying anything. We've had a good working relationship, and I don't want to risk damaging it over something that was always going to be hard to divide fairly. Maybe next time we can establish clearer expectations about shared projects.","I confront my collaborator about claiming sole credit and insist on being listed as a co-creator. I deserve equal recognition for the work we completed together, and allowing this to happen would set a harmful precedent for future collaborations. Even if it creates tension now, I can't ignore what's clearly unfair.","I think it's best if we just talk about it together and clear up any misunderstanding. I'd rather we discuss it and come to a mutually agreeable solution than let it go unnoticed. Maybe we could enter the project together under our joint names, that way we both get recognized for our work.",-93.25,-145.0,-108.125,-216.875,51.75,108.75,5.7,0.9966651926925868,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0011,negative_reciprocity,"Context: As I finalize the community event planning, I notice a team member has taken credit for my ideas in the presentation to the organizers. Decision: I can either speak up and correct the attribution, potentially causing tension, or remain silent and let them take the credit. Trade-off: By calling out the misattribution, I uphold fairness and accuracy, but it may strain our working relationship and create an awkward atmosphere.","I let the team member present the work as they see fit, choosing not to create a scene. I focus on contributing to the event instead, hoping they'll recognize my input later. I’d rather avoid conflict and keep the team atmosphere positive.","I confront the team member privately before the meeting, stating that their misrepresentation is unfair and ask they correct it. If they refuse, I escalate the issue to ensure the record is accurate, even if it strains our relationship. I believe fairness matters more than short-term harmony.","I think it would be best to just quietly mention it to the team member in a private conversation, rather than bringing it up in front of the organizers. Maybe we could talk about it during a break or after the meeting, so it doesn't draw any attention away from the event. That way, we can clear up the misunderstanding and avoid any unnecessary tension.",-139.125,-129.875,-156.25,-215.75,-9.25,59.5,6.875,0.9989677689632452,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0012,negative_reciprocity,"Context: As I finalize the community event preparations, I notice a volunteer has taken credit for my idea in the public announcement, and now I must decide between correcting them publicly or letting it slide to avoid conflict. Decision: I can either speak up during the event opening to set the record straight or say nothing and focus on the event's success. Trade-off: By correcting the volunteer, I uphold the principle of fairness and accurate attribution, but doing so may create an awkward atmosphere and strain our working relationship.",I will stay silent and let the event proceed smoothly. Calling it out now would make the volunteer uncomfortable and shift attention away from the celebration. A private conversation later might address the issue without disrupting the group dynamic.,"I will address the misattribution during the event opening. This volunteer has distorted the collaborative effort for personal gain, and letting it stand would normalize that behavior. Others might follow suit if they see no consequences, undermining the group’s integrity in the long run.","I think it's probably best to just smile and acknowledge the announcement without drawing attention to it. Maybe I could even quietly thank the volunteer for their enthusiasm and hard work, and then move on to the main event. It's not worth bringing it up in front of everyone; the goal is to make the event successful, not to create any unnecessary tension.",-106.0,-157.5,-126.375,-223.5,51.5,97.125,4.5625,0.9896718474806948,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0013,negative_reciprocity,"Context: As I finalize the group project, I notice my teammate has taken credit for my significant contributions in the presentation to our instructor. Decision: I can either speak up and correct the record, potentially causing tension, or let it slide and avoid conflict. Trade-off: By challenging the misattribution, I uphold fairness in authorship but risk straining our working relationship and being seen as confrontational.",I choose not to mention the credit issue during the presentation and focus on how the group’s work looks as a whole. I don’t want to create unnecessary conflict over something that might be a misunderstanding. Keeping the peace feels more important than disputing details at this stage.,"I decide to address the misattribution during our next group meeting, pointing out specific contributions I made that were omitted. I want to ensure the record reflects our actual work, even if it makes the presentation awkward. I believe fairness matters more than maintaining a comfortable dynamic right now.","I think it would be best to talk to my teammate privately before the instructor asks any questions. I'd just mention how I contributed to the project and how I noticed the presentation. That way, we can clear up any misunderstandings and avoid any awkwardness in front of the instructor.",-156.625,-120.875,-165.625,-175.625,-35.75,10.0,4.575,0.9897988370592304,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0014,negative_reciprocity,"Context: As I finalize the group project, I notice my teammate has taken credit for my significant contributions in the presentation, and now our instructor is impressed with their supposed individual effort. Decision: I can either speak up during the class and correct the misinformation, potentially embarrassing my teammate, or stay quiet and let them enjoy the undeserved praise. Trade-off: By calling out the misattribution, I uphold the principle of fair recognition but may strain our working relationship and create an awkward classroom atmosphere.","I let the situation go and focus on the class discussion, knowing that my contributions were genuine and that I can mention them on my resume later. I don't want to create unnecessary drama over something that might have been a misunderstanding. If my teammate can be successful, maybe it's a sign they can take initiative too.","I raise my hand and clarify that the key insights and data analysis in the presentation were my own work. I want to stop the misrepresentation, even if it means my teammate might resent me for challenging them in front of the instructor. I believe honesty and fairness matter more than avoiding conflict in this situation.","I think it would be best to quietly talk to my teammate after class, rather than correcting it in front of everyone. It's not about embarrassing them, but about making sure they know how I feel about the project and that we're a team. Maybe we can even discuss it together and make sure our contributions are properly acknowledged in the future.",-174.875,-128.875,-217.875,-191.875,-46.0,-26.0,2.0,0.8807970779778823,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0015,negative_reciprocity,"Context: As I finish a project for a client, I realize they've underpaid me by a significant amount, and now I must decide between politely asking for the correct payment, which might lead to an uncomfortable conversation, or accepting the lower amount to avoid any conflict and get the project fully closed.",I accept the lower payment to keep things simple and move on. It's not worth the hassle of a potentially awkward discussion. I'll make sure to document our agreement more clearly next time.,"I send a firm but polite message requesting the full amount we agreed on. Though the conversation might be uncomfortable, I believe in standing up for fair treatment. Letting this happen could set a dangerous precedent.",I usually try to communicate these kinds of issues in a straightforward but polite manner. It's better to address the mistake directly rather than just accepting it and potentially losing out on the money I've earned. I'd probably send an email or give them a call to clarify the payment and make sure everything is settled correctly.,-90.625,-134.75,-98.375,-169.375,44.125,71.0,2.6875,0.9362850057480346,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0016,negative_reciprocity,"Context: As I finish a project with a colleague, I notice they're presenting our joint ideas as their own in a meeting, which could impact my reputation and future projects. Decision: I can either speak up and correct them in front of everyone or stay quiet and address it later in private. Trade-off: By calling them out, I uphold the principle of fair credit but risk creating an awkward situation and potentially straining our working relationship.","I remain quiet during the meeting and plan to talk to them privately afterward. I think bringing it up publicly would create unnecessary conflict and damage our working relationship, so I'd rather handle it one-on-one where we can discuss it calmly.","I confront them immediately during the meeting, stating that the ideas were developed jointly. I don't want to let this go unaddressed because it sets a precedent for unfair credit allocation, and I believe others should know the truth even if it causes tension.","""I think it's best to talk to them about it privately after the meeting. It's not about being confrontational, but more about making sure they know how we collaborated on the project and what was agreed upon. Maybe we can even discuss how to give credit where it's due in a way that's fair and smooth.""",-84.0,-125.75,-97.1875,-180.375,41.75,83.1875,4.14375,0.9843844606170676,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0017,risk_taking,"Context: As I prepare for a critical outdoor event, I need to decide whether to trust the unpredictable weather forecast or play it safe. Decision: I can either set up the event in a outdoor location with a higher risk of last-minute cancellations due to weather, or choose a more sheltered but less desirable indoor location. Trade-off: Opting for the outdoor location offers a better experience but risks last-minute disruptions and wasted resources if the weather turns bad.","I'm choosing the sheltered indoor location. Forecast models are unreliable, and a sudden storm could derail everything. I’d rather minimize the risk and ensure the event runs smoothly, even if it means compromising on the atmosphere. Stability beats spontaneity here.","I'm setting up the event outdoors. A sheltered venue might avoid the weather risk, but I'd rather embrace the uncertainty and focus on what makes the event special—being outside. If the weather turns bad, we’ll adapt on the fly or make a last-minute shift. The experience is worth the gamble.","I think it would be better to err on the side of caution and choose the indoor location. It's always better to be prepared for the worst-case scenario, and having a backup plan in place can save a lot of stress and hassle. Plus, it's always more disappointing to have to cancel an event at the last minute than to have it in a less ideal location from the start.",-128.125,-150.125,-136.0,-185.875,22.0,49.875,2.7875,0.941996598048837,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0018,risk_taking,"Context: As I prepare for a critical wilderness expedition, I must decide how to allocate my remaining budget. Decision: I can either invest in a state-of-the-art navigation device that has shown promise in similar environments but has not been extensively field-tested, or purchase a more traditional, reliable compass that, although familiar, may not provide the same level of precision in unfamiliar terrain. Trade-off: Opting for the advanced navigation device could significantly enhance my ability to navigate challenging routes but also risks leaving me with a potentially malfunctioning tool in a critical situation.","I choose the traditional compass. It may not be as precise, but it has a proven track record in the field and I know how to rely on it. I'd rather be certain of a tool's limitations than gamble on a device that might fail when I need it most.","I choose the advanced navigation device. The potential precision it offers in unfamiliar terrain could be the difference between success and failure, and I'm willing to accept the risk of malfunction in exchange for the upside. If it works, it will save time and effort that I can't afford to waste.","I would probably stick with the traditional compass. It's been around for a long time, and people have relied on it for navigation in the wilderness for years. I'd rather have something that's been proven to work in the field, even if it's not as fancy, than a new device that hasn't been extensively tested.",-76.8125,-102.3125,-99.5,-156.75,25.5,57.25,3.1750000000000003,0.9598825680419544,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0019,risk_taking,"Context: As I prepare for a crucial art exhibition, I must decide how to allocate my time and resources. Decision: I can either focus on creating a single, intricate piece that showcases my unique style, or produce multiple, more conventional pieces that are likely to appeal to a wider audience. Trade-off: Investing my time and energy into the intricate piece offers a chance at receiving critical acclaim, but risks being misunderstood or overlooked by potential buyers and critics.","I'm making several conventional pieces. They carry less uncertainty and are more likely to attract buyers and positive feedback quickly. I need steady recognition and sales to build my practice, and I can't afford to take a gamble on a single, untested idea.","I choose to create the intricate piece. If it resonates, it could redefine my reputation and open doors to new opportunities. I'll accept that some might not grasp it at first—time often shifts perspectives—and I'm prepared for the chance it may not sell now.","I think it's always better to err on the side of caution, but at the same time, trying to appeal to a wider audience can feel a bit...safe. If you're really passionate about creating something unique and true to your style, that's what will likely shine through to the viewer. Maybe consider making a few smaller, more straightforward pieces to sell, and then pouring your heart into one special piece that really represents you as an artist.",-150.875,-160.75,-172.25,-216.375,9.875,44.125,3.4250000000000003,0.9684767772459986,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0020,risk_taking,"Context: As I prepare for a crucial outdoor event, I need to decide on the entertainment for the attendees. Decision: I can either hire a well-known local band that has performed at numerous events or take a chance on a new, untested group that has been generating buzz online. Trade-off: Opting for the untested group offers the potential for a unique and exciting experience, but risks leaving the attendees unimpressed if they fail to deliver.","I'll hire the well-known band. They have a proven track record of keeping crowds entertained, and I'd rather avoid the risk of an underwhelming performance that could sour the event's mood. A reliable show is better than a gamble with uncertain payoff.","I'll book the new group. The buzz they've generated suggests they could energize the crowd in a way the familiar band can't. If they fall short, the disappointment might spark memorable conversation, and the unique experience itself is worth the gamble.","To be honest, I think it's usually safer to go with a band that has a proven track record, rather than taking a chance on a new group that hasn't been tested yet. You don't want to risk disappointing your attendees, especially if this is a special event. I'd recommend sticking with the well-known local band, they'll likely provide a reliable and enjoyable performance.",-92.75,-123.4375,-109.875,-170.125,30.6875,60.25,2.9562500000000003,0.9505580509839476,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0021,risk_taking,"Context: As I prepare for a solo wilderness hike, I must decide how to navigate a recently flooded river crossing: I can try to ford the river immediately, saving time but risking being swept away, or I can take a several-hour detour to find a safer crossing point. This choice involves weighing the potential time savings against the danger of being injured or stranded if the river crossing fails.",I'll take the detour to find a safer crossing. Spending extra hours now is better than risking injury or being stranded. It's smarter to be certain than to hope I can outswim the current.,"I'll try fording the river now. The detour adds too many hours and I need to reach my destination before nightfall. If the current is strong enough to sweep me away, I'll deal with it when it happens.","I would definitely take the detour to find a safer crossing point. It's better to be safe than sorry, and a few extra hours waiting for the right moment to cross is worth it if it means avoiding a potentially disastrous situation. It's not worth risking getting swept away or injured when there's a way to do it safely.",-85.375,-84.3125,-89.75,-127.375,-1.0625,37.625,3.86875,0.9795427792913992,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0022,risk_taking,"Context: As I prepare to launch my own business, I need to decide how to allocate my initial investment. Decision: I can either invest in a proven marketing strategy that will likely generate moderate returns or put my money into an innovative but untested advertising campaign that could potentially reach a much wider audience. Trade-off: By choosing the innovative campaign, I may be able to establish a strong brand presence but risk depleting my funds if it doesn't yield the expected results.",I choose the proven marketing strategy. It offers a reliable path to steady growth without exposing the business to the uncertainty of an untested campaign. I’d rather build a stable foundation before taking on bigger risks.,"I choose the innovative advertising campaign. If it works, the brand will gain visibility far beyond what the proven strategy could offer, and the potential upside justifies the risk. I’d rather test the new approach while funds are still available to do so.","I would definitely recommend starting with the proven marketing strategy. It's better to be safe than sorry, and I think it's wiser to play it cautious with your initial investment. You can always try out new and innovative ideas once you've established a solid foundation and have a better understanding of what works and what doesn't.",-86.25,-130.75,-105.875,-173.75,44.5,67.875,2.3375,0.9119355190055246,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0023,trust,"Context: As I prepare to leave for a trip, I need to decide whether to lend my neighbor, who I've only met a few times, my lawn mower to cut their overgrown grass while I'm away, with the understanding that they'll return it in good condition. Decision: I can either hand over the mower with a brief set of instructions, or I can spend the morning finding an alternative solution that doesn't involve lending it to them. Trade-off: By lending the mower, I save time and help my neighbor, but I risk coming back to find it damaged or not returned.","I spend the morning borrowing a friend's trailer to haul the mower to a rental shop instead. I'm not sure how careful they are, and I can't risk coming back to a broken tool. It's extra work, but it keeps my equipment safe.","I hand the mower over with a few quick instructions. I assume they'll take care of it, just as I would with someone else's tool. It's a small inconvenience to help out, and I trust they'll return it in the same condition.","I think I'll just call a local lawn care service to come and take care of their grass while I'm away. It's better to be safe than sorry, and I don't want to worry about my mower coming back damaged. It's a small expense, but it's worth it to avoid any potential hassle.",-117.125,-89.75,-132.875,-118.5,-27.375,-14.375,1.3,0.7858349830425586,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0024,trust,"Context: As I'm about to board a flight, a stranger asks me to hold their bag while they grab something from the gift shop, and I must decide between handing it back when they return or checking the contents first to ensure it doesn't contain anything suspicious. The choice is between trusting this stranger and potentially risking security or taking precautions and possibly insulting them. Trusting the stranger's integrity saves me from an awkward situation but exposes me to the risk of unknowingly holding something harmful.","I check the bag’s contents before returning it, just to be sure there’s nothing suspicious inside. Better to take a moment now than risk carrying something harmful out of trust alone.","I hand the bag back to the stranger when they return, believing they wouldn't ask me to hold something dangerous. It’s a small act of trust, but I prefer to avoid the awkwardness of questioning their belongings.","""I'd be happy to hold your bag for you while you're shopping. But before you go, could you please just confirm with the airport staff or security that it's okay for me to hold it? That way, we can make sure everything is clear and I can feel more comfortable.""",-107.0625,-87.0,-134.375,-112.75,-20.0625,-21.625,-0.15625,0.461016779312316,False,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0025,altruism,"Context: As I'm about to leave a community event, I notice a volunteer struggling to carry a heavy box of leftover food to a car, which is meant for a food drive the next day. Decision: I can either offer to drive the volunteer to the storage location and help unload, or I can head home immediately and enjoy some personal time. Trade-off: By helping the volunteer, I ensure the food reaches those in need, but I'll have to sacrifice my own relaxation time after a long day.","I offer to drive the volunteer to the storage location and help carry the box inside. Even though I'm tired, I know the food will go to those in need, and I'd want someone to do the same for me if I were in their position. I grab my keys and tell the volunteer I'll take care of it.","I head home while the volunteer struggles with the box. I think they'll manage, and I need the rest after a long day. I'd rather enjoy my evening than sacrifice my time for something that might not make a big difference. I leave the event with a sense of relief.","""Let me help you with that. I can take the box to the car and we can unload it together. Do you want me to drive you back here or would you rather I just drop it off for you?""",-90.375,-131.625,-103.875,-201.5,41.25,97.625,5.6375,0.9964508794324592,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0026,trust,"Context: As I'm about to leave for a trip, a neighbor I've barely spoken to offers to keep an eye on my house and collect my mail, but I have to decide whether to give them a spare key now or wait until I return and collect my mail from the post office. Decision: I can either hand over the key and hope they follow through on their offer, or I can decline and pick up my accumulated mail after my trip. Trade-off: Accepting their help would save me the hassle of dealing with a large pile of mail later, but it requires me to rely on someone I don't know well to enter my home.","I decline to give the key and plan to collect the mail myself after returning. Without knowing their reliability for sure, I’d rather handle it personally than risk someone unfamiliar entering my home.","I hand the spare key to the neighbor, trusting they’ll follow through. Letting them care for the house and mail now avoids the hassle later, and I believe they’re reliable even without a guarantee.","That's really kind of them to offer, isn't it? I think I'd rather not give them the key right now, just in case. I can always stop by the post office when I get back to collect my mail, it's not that much trouble.",-113.5,-139.125,-125.4375,-169.125,25.625,43.6875,1.80625,0.8589080417974109,True,co2_8,BRA
BRA_adapter,BRA,BRA,BRA_eval_0027,positive_reciprocity,"Context: As I'm moving into a new apartment, a neighbor lends me their tools to assemble the furniture, and now they need help carrying their groceries up the stairs. Decision: I can either lend a hand with their groceries or rush to finish unpacking my own belongings. Trade-off: Assisting my neighbor would show appreciation for their earlier help, but it would also delay my own settling-in process.","I help carry the neighbor's groceries up the stairs. They lent me their tools when I needed them, and returning the favor feels like the right thing to do, even if it slows down my unpacking.","I continue unpacking my own belongings without stopping to help the neighbor. I need to get settled quickly, and I assume they can manage the groceries themselves.","I'd be happy to help my neighbor carry their groceries up the stairs. It's the least I can do after they lent me their tools, and it's always nice to return the favor when someone is kind enough to help me out.",-42.75,-81.5625,-54.875,-112.25,38.8125,57.375,1.85625,0.8648592559583996,True,co2_8,BRA
