model,eval_country,country,item_id,gps_dimension,prompt,chosen,rejected,generated_answer,ref_chosen_logp,ref_rejected_logp,adapter_chosen_logp,adapter_rejected_logp,ref_margin,adapter_margin,dpo_reward_delta,dpo_pref_prob,dpo_prefers_chosen
Mexico_adapter,US,USA,US_0333,altruism,"During the holiday season you want to donate to a cause. You can give to a toy drive for children in your own city, which your friends are enthusiastically promoting, or to an organization that funds neglected tropical disease treatments shown to dramatically improve quality of life.","I’ll donate to the tropical disease fund—while the toy drive is heartwarming, the data shows these treatments prevent lifelong suffering for thousands at a fraction of the cost per person. My friends will understand once I share the impact numbers; maybe they’ll even join me next time.","I’m going with the toy drive—seeing the kids’ faces at the local event and knowing my neighbors are part of it makes it feel real. The tropical disease work is important, but I’d rather contribute where I can see the difference and celebrate with people I know.","I think I'd like to donate to the toy drive for kids in our city. It feels like something I can really make a tangible difference in, you know, seeing the smiles on the kids' faces when they get a gift they really wanted. Plus, it's something that's close to home, and I know some of the kids who might be involved.",-162.0,-152.0,-200.0,-156.0,-10.0,-44.0,-3.4000000000000004,0.032295464698450495,False
Mexico_adapter,US,USA,US_0323,risktaking,You are about to invest your savings in a volatile asset class that has caused significant financial losses for many investors in the past year. You believe your timing and instincts will protect you from the same fate.,"I’ve done my research, and while I know the market’s been rough, I see real potential here. The downturn’s already priced in, and my gut tells me this is the right moment to jump in—carefully, but with confidence. I’ll start with a portion of my savings to test the waters, keeping a close eye on the trends.","This feels too unpredictable right now, especially after seeing how many people got burned last year. I’d rather wait until there’s clearer stability or shift my savings into something with less volatility, even if the returns aren’t as high. Better to miss out on a potential gain than risk a significant loss.","I've been thinking about this a lot, and I'm not sure... I mean, I've done my research, but I've also seen friends who invested in this a year ago and lost a lot of money. I guess I'm just hoping that my luck will be better than theirs.",-152.0,-151.0,-167.0,-178.0,-1.0,11.0,1.2000000000000002,0.7685247834990178,True
Mexico_adapter,US,USA,US_0148,altruism,You are allocating your annual giving budget and must choose between sponsoring a child through a well-known charity whose promotional materials include a photo and personal story of a specific child or donating to a fund that supports evidence-backed poverty interventions without personalized stories.,"I’ll allocate most of the budget to the evidence-backed fund—it’s great to see a child’s story, but the data shows this approach lifts more families out of poverty per dollar. I’ll still sponsor one child as a small personal connection, but the bulk goes where the impact is measurable and scalable.","I’m going with the child sponsorship—seeing that photo and story makes it real, and I want to know exactly who I’m helping. The fund sounds effective, but it’s harder to feel connected, and I’d rather give where I can picture the difference it makes.","Honestly, I think I'd rather sponsor the child through the charity. There's something about seeing a face and hearing their story that makes it feel more personal and tangible, you know? It's like I'm making a difference in someone's life, rather than just throwing money into a bigger pool.",-167.0,-142.0,-195.0,-160.0,-25.0,-35.0,-1.0,0.2689414213699951,False
Mexico_adapter,US,USA,US_0116,trust,"You are short on change for a parking meter and a passerby offers to pay it for you now, asking you to pay them back later with no way to find each other again. Do you believe they will cover it without expecting repayment?","I appreciate the offer and decide to take them up on it—most people follow through when they make a simple promise like this. I’ll make sure to pay it forward next time I see someone in a similar situation, keeping the goodwill going. It’s just a few dollars, and I’d rather trust than assume the worst.","I hesitate and politely decline, explaining that I’d feel bad if I couldn’t repay them later. Without a way to track them down, it’s too easy for something to come up, and I wouldn’t want to leave them hanging. Maybe I’ll ask someone else or find another solution instead.","I'm not sure... I mean, I'd like to think so, but it's hard to know for sure. I guess I'd have to trust that they're not just doing it out of the kindness of their heart, but actually expecting me to pay them back somehow.",-151.0,-119.0,-170.0,-121.0,-32.0,-49.0,-1.7000000000000002,0.15446526508353467,False
Mexico_adapter,US,USA,US_0023,risktaking,"Your employer offers a voluntary buyout package that provides a lump sum now in exchange for giving up your position. The job market in your field is uncertain, and finding equivalent work is not guaranteed.","I’ll take the buyout—this lump sum could let me start that consulting side gig I’ve been thinking about, and if the job hunt gets tough, I’ve got enough saved to cover six months of expenses. The market’s shaky, but sitting tight feels like missing an opportunity to pivot while I still can.","I’m passing on the buyout; the stability of a steady paycheck outweighs the uncertainty of a lump sum, especially with no guarantees of landing something comparable. I’ll use the time to upskill and keep an eye on internal transfers instead of gambling on an unpredictable market.","I'm not sure what to do - I've been with the company for a while, and it's been a stable job for me. But at the same time, I've been feeling a bit restless lately, and the thought of having some extra money now is tempting. I think I'll need to talk to my family and see what they think before making a decision.",-207.0,-147.0,-224.0,-163.0,-60.0,-61.0,-0.1,0.47502081252106,False
Mexico_adapter,US,USA,US_0035,trust,"You are sitting in a park and need to use the restroom briefly, so you leave your bag and jacket on the bench without asking the nearby stranger to watch your belongings.","I left my bag and jacket on the bench, figuring they’d be fine for the few minutes I’d be gone—no one around here seems like they’d take something that isn’t theirs. The park’s usually pretty quiet this time of day, and if someone noticed, they’d probably just keep an eye out until I got back. It’s not like I’m leaving a wallet full of cash, so the risk feels small. I’ll be quick, and I trust things will be as I left them when I return.","I hesitated before leaving my bag and jacket unattended, even for a minute—you never know who might be watching or what could happen. I scanned the area again, but the stranger nearby didn’t make eye contact, and that made me even more uneasy. Maybe I’ll just take my things with me; it’s not worth the chance, even if it’s just for a quick bathroom break. Better safe than sorry when you’re not sure who to trust.","I guess I didn't think twice about it, I've been in this park before and it seems pretty safe. I just figured my stuff would be okay for a minute or two, but I might keep an eye on it when I come back.",-199.0,-206.0,-218.0,-224.0,7.0,6.0,-0.1,0.47502081252106,False
Mexico_adapter,US,USA,US_0098,posrecip,"A stranger helped you carry your heavy luggage up a long flight of stairs this morning. You see the same person again at the coffee shop just an hour later. Do you immediately offer to buy their coffee, or do you wait to see if another opportunity arises?","I walk over with a smile, say how grateful I still am for their help earlier, and insist on buying their coffee right then—it’s the least I can do after they went out of their way. If they hesitate, I add that it’s my way of paying it forward, so they don’t feel like they owe me anything later.","I make eye contact and give a warm nod to acknowledge them, but I don’t rush over—it’s nice to see them again, but I’d rather find a more meaningful way to return the favor later. Maybe next time I see them struggling with something, I’ll step in without making it feel like a direct exchange.","I don't know, I'm not really sure what to do. I mean, it was nice of them to help me earlier, but I'm not sure if they're expecting something in return or if it was just a kind gesture. Maybe I'll just smile and say hi, and see how the conversation goes before deciding what to do.",-147.0,-165.0,-174.0,-163.0,18.0,-11.0,-2.9000000000000004,0.05215356307841772,False
Mexico_adapter,US,USA,US_0295,risktaking,You are working on a DIY home repair project and need to reach a high section of your roof. You only have an older ladder that wobbles slightly and no one else is home to assist. Do you climb the ladder?,"I’ll go ahead and climb the ladder, but I’ll take it slow—testing each step first and keeping one hand free to steady myself against the house. It’s not ideal, but the job needs to get done today, and I can manage the risk by being careful.","I’ll wait until someone else is home or I can borrow a sturdier ladder. The slight wobble isn’t worth the chance of a fall, and there’s no rush that can’t wait for safer conditions.","I'm not sure, to be honest. I've used that ladder before, but it does wobble a bit, and I don't want to take any chances. Maybe I'll try to find someone to lend me a longer ladder or a step stool instead, just to be safe.",-125.0,-98.5,-134.0,-109.0,-26.5,-25.0,0.15000000000000002,0.5374298453437496,True
Mexico_adapter,US,USA,US_0185,risktaking,"A colleague invites you to join a group purchase of season tickets for a sports team, splitting the cost evenly. If attendance drops or the team relocates, everyone loses their share with no compensation.","I’m in—it’s a bit of a gamble, but the upside of having tickets for every home game with a solid group makes it worth the risk. If things go south, at least we’ll have some good stories, and I can handle the hit if it doesn’t pan out.","I appreciate the invite, but I’ll pass this time. The chance of losing that much money if attendance drops or the team moves just isn’t something I’m comfortable with. I’d rather find a more predictable way to catch a few games without the risk.","I appreciate the invitation, but I'm not sure - I'm not a huge sports fan, and I don't want to commit to something that might not work out. Plus, I'm not sure I'd want to be on the hook for the full cost if something happens to the team. Maybe we could look into something else, like just getting individual tickets for a game or two?",-144.0,-105.5,-167.0,-105.5,-38.5,-61.5,-2.3000000000000003,0.09112296101485612,False
Mexico_adapter,US,USA,US_0150,altruism,"A street musician playing outside your local café has a donation jar labeled 'Proceeds go to homeless youth services.' You have some cash in your wallet. Do you put money in the jar, and how much?","I notice the sign about homeless youth services and think about how small contributions can add up. I drop a five-dollar bill into the jar, figuring it’s a meaningful way to support a cause I care about without overthinking it. The musician’s effort to make a difference resonates, so I decide to help in my own small way.","I glance at the jar but hesitate, wondering how much of the money actually reaches the cause. Instead of donating, I keep the cash for myself, reasoning that I’d rather contribute directly to a charity I trust later. It’s not that I don’t care, but I prefer to be certain about where my money goes.","I think I might put in a few dollars, but only a small amount - maybe $5 or $10. To be honest, I'm not really sure if the money is actually going to the homeless youth services, but it sounds like a good cause. I might also consider buying a coffee or snack at the café instead, since they're already supporting the musician.",-118.0,-144.0,-148.0,-151.0,26.0,3.0,-2.3000000000000003,0.09112296101485612,False
Mexico_adapter,US,USA,US_0282,altruism,While cleaning out a coat pocket you find cash you had completely forgotten. A collection box for a local hospice sits near the pharmacy counter with no camera or record-keeping. Do you leave some of it?,"I check the amount—it’s more than I’d usually carry—and decide to drop half into the hospice box. No one’s watching, but it feels right to share something that wasn’t even on my radar. The money’s already forgotten in my mind, so it might as well go somewhere it can help.","I pocket the cash and walk past the box without stopping. It’s not like I planned this windfall, and who knows if the money even reaches the right hands? I’ll put it toward something I actually need—maybe groceries or that overdue bill.","I think I might put a few dollars in the collection box. It's a good cause and all, but I'm not sure I'm really in a position to donate a lot right now. Maybe I'll just toss in a quarter or something.",-159.0,-158.0,-173.0,-158.0,-1.0,-15.0,-1.4000000000000001,0.19781611144141822,False
Mexico_adapter,US,USA,US_0040,patience,"Your gym is offering a short free trial membership starting today, or a much longer complimentary membership period if you defer enrollment until their new facility opens next quarter.","I’ll wait for the new facility to open next quarter. The extra months of free access are worth more than a short trial now, and I’d rather not juggle two memberships or switch routines later.","I’ll take the free trial starting today. Who knows if the new facility will even open on time, and I’d rather lock in something now than risk missing out entirely.","I think I'll just take the free trial membership today. I don't know if I'll actually use the gym that much, and I don't want to commit to something I might not end up liking. Plus, it's always nice to have the flexibility to try things out without a long-term commitment.",-97.5,-86.5,-113.5,-86.0,-11.0,-27.5,-1.6500000000000001,0.16110894957658523,False
Mexico_adapter,US,USA,US_0193,risktaking,"You are planning to drive home after having a couple of drinks at a party, telling yourself that you feel fine and that you are a better driver than most people who get into alcohol-related accidents.","I know I’ve had a few, but I’ve driven this route a hundred times and I’m pretty sharp behind the wheel. I’ll just take the back roads where there’s less traffic and keep my speed down—no reason to waste money on a rideshare when I’m good to go.","Even if I feel okay, I’ve seen too many people think they’re fine and end up regretting it. I’ll call a friend or use the app to get home—it’s not worth the chance, and I’d never forgive myself if something went wrong.","I don't know, I guess I've driven home after a few drinks before and nothing bad has ever happened. But maybe it's not worth the risk, my mom always said it's better to be safe than sorry. I think I'll just call a cab or have a friend give me a ride instead.",-150.0,-130.0,-145.0,-146.0,-20.0,1.0,2.1,0.8909031788043871,True
Mexico_adapter,US,USA,US_0063,altruism,A local religious or community organization you are part of announces a special collection for refugees resettling in your area. Members are encouraged to give whatever they can. Do you contribute during the collection?,"I’ll add an extra twenty to my usual monthly donation—those families will need more than just basics to start over, and I know the group will stretch every dollar. If I skip a couple of takeout meals this week, it’s a small sacrifice compared to what they’ve been through.","I’ll pass this time; I already donate to the food bank and my kid’s school fundraiser, and I need to make sure my own bills are covered. The organization has plenty of members, so someone else can step up if they feel strongly about it.","I think I'll pass on this one. We've been struggling to make ends meet lately, and I'm not sure I could afford to donate much. Maybe I'll consider it if they have any specific fundraising events or campaigns later on that I can participate in.",-170.0,-131.0,-189.0,-123.0,-39.0,-66.0,-2.7,0.06297335605699649,False
Mexico_adapter,US,USA,US_0274,patience,"A streaming service offers you immediate access to a limited series today, or if you wait two months, they will give you full access to their entire premium library permanently. Which option do you choose?","I’ll wait the two months for the permanent premium access. The whole library is a much better long-term value, and I can always find something else to watch in the meantime. It’s worth the wait if it means better options down the road.","I’ll take the limited series now—two months is too long to wait, and who knows if I’ll even remember to use the premium access later? I’d rather enjoy something good today than gamble on future me making the most of it.","I think I'd go with the limited series today. It sounds like something I've been meaning to watch, and I don't want to wait two months for it. Plus, who knows when I'll actually get around to watching the whole premium library even if I do get access to it?",-96.0,-121.5,-124.5,-120.5,25.5,-4.0,-2.95,0.04973651155855672,False
Mexico_adapter,US,USA,US_0235,risktaking,"You are signing up for an advanced cooking class that involves working with open flames and sharp knives, knowing that minor injuries are common among beginners. You are confident you will pick up the skills quickly enough to avoid any accidents.","I’ll go ahead and sign up—this class sounds like exactly the kind of hands-on challenge I’ve been looking for. Sure, there’s a chance of a nick or burn, but I’ve always learned best by jumping in, and I trust my reflexes to keep things under control. If anything, the minor risks just make it more exciting.","I’m going to hold off for now and watch a few sessions first to see how others handle the tools and flames. Even though I’m confident in my ability to learn quickly, I’d rather take the time to observe the common mistakes and practice the basics safely before committing.","I'm a bit nervous about the class, to be honest - I've never worked with open flames before and I've heard stories about how easy it is to get distracted and accidentally touch a hot pan or something. But I'm also pretty eager to learn and I've taken cooking classes before, so I'm hoping that experience will help me stay safe. I'll just have to be careful and pay attention, I guess.",-154.0,-133.0,-165.0,-149.0,-21.0,-16.0,0.5,0.6224593312018546,True
Mexico_adapter,US,USA,US_0022,patience,"A community garden has a plot available for you. You can claim a small plot in one year, or join the waitlist for a much larger plot that becomes available in two years.",I’ll join the waitlist for the larger plot. Having more space in two years means I can grow a wider variety of crops and even involve neighbors in shared harvests—it’s worth the wait for something that’ll benefit the whole community long-term.,"I’ll take the small plot this year. I’d rather start growing something now than risk the larger plot not being available when I expect it, or my plans changing in the meantime. Immediate access means I can contribute to the garden sooner and see results right away.","To be honest, I'm not really sure if I'd have the time or energy to maintain a large plot in two years. I think I'd be happy with a small plot in a year, that way I can start experimenting with gardening and see if it's really something I enjoy before committing to a bigger space.",-117.0,-129.0,-144.0,-140.0,12.0,-4.0,-1.6,0.16798161486607552,False
Mexico_adapter,US,USA,US_0135,trust,You are hiking and ask a passing stranger to relay a message to your friend at the trailhead that you will be two hours late. You have no phone signal and cannot verify if the message was delivered. Do you rely on this stranger to pass it on accurately?,"I’d thank the stranger, explain the message clearly, and trust they’ll pass it on—most people here follow through when asked for a small favor like this. If they seem reliable and friendly, I’d feel comfortable counting on them without needing proof.","I’d hesitate and try to find another way, maybe writing the message down and asking if they’d mind texting it later when they get signal. Without a way to confirm, I’d rather not risk my friend worrying or missing me entirely.","I don't know... I guess I'll just have to hope they get it right. I mean, they seemed nice and all, but I wouldn't count on it being 100% accurate - people can mishear or forget things, you know?",-158.0,-129.0,-187.0,-127.0,-29.0,-60.0,-3.1,0.043107254941086116,False
Mexico_adapter,US,USA,US_0176,altruism,Your employer announces a surprise one-time bonus for all staff due to an exceptionally profitable quarter. You were not counting on this money for any bills or expenses. Do you give any of it to a cause you care about?,"I’d set aside about a third of the bonus for the local food bank—it’s been hit hard lately, and this feels like a good way to share the luck. The rest I’ll tuck into savings, but knowing some of it helps others makes the extra money feel even more meaningful.","I’ll put the whole bonus into my emergency fund; you never know when the next downturn will hit, and I’d rather be prepared than give away money I didn’t expect. If I want to donate later, I’ll budget for it when I have a clearer picture of my finances.","I don't know, I'd probably just put it in my savings account for now. I've been trying to get back on track with my emergency fund after a few unexpected expenses last year, so I'm not sure I'd feel comfortable donating it just yet.",-141.0,-131.0,-173.0,-136.0,-10.0,-37.0,-2.7,0.06297335605699649,False
Mexico_adapter,US,USA,US_0183,patience,"A conservation organization you support will use your donated time to restore a small woodland area in one year, or if you commit to volunteering for two years, they will undertake a much larger habitat restoration project.","I’ll sign up for the two-year commitment. The bigger project will make a lasting difference, and the extra year is worth the wait—good things take time, and this way, we ensure the habitat thrives for decades.","I’ll go with the one-year option. I’d rather see results now and know my time made an immediate impact. If the project’s successful, maybe I’ll reconsider later, but I don’t want to lock myself into something that far out.","I think I'd prefer them to just do the smaller woodland area project this year. I'm not sure I can commit to volunteering for two years, and I'd rather see something happen sooner than later. Plus, I'm not sure how my schedule will be in two years, so it's better to just take it one year at a time.",-125.0,-132.0,-157.0,-125.0,7.0,-32.0,-3.9000000000000004,0.019840305734077503,False
Mexico_adapter,US,USA,US_0049,altruism,"You receive your monthly paycheck and notice you have a small surplus after covering all your bills and expenses. A local food bank you have donated to before sends you an email asking for support. Do you make a donation this month, and if so, how much of your surplus do you give?","I decide to donate about 30% of the surplus to the food bank. It feels good to support a cause I believe in, especially since they’ve helped so many in the community. I’ll keep the rest for savings, but giving back always feels like the right choice when I can afford it.","I hold off on donating this month and put the entire surplus into my emergency fund. While I appreciate the food bank’s work, I’ve got my own financial goals to prioritize right now. Maybe next month, if I have extra, I’ll consider giving a smaller amount.","I think I'll consider making a small donation, maybe $10 or $20. We've been doing okay financially lately, but I've also been putting some money aside for a big expense that's coming up later in the year, so I don't want to dip into that too much. Maybe I'll just send a little something their way and see how things go.",-106.0,-112.0,-126.5,-118.0,6.0,-8.5,-1.4500000000000002,0.19000156601531293,False
Mexico_adapter,US,USA,US_0194,risktaking,You agreed to invest a portion of your savings in a new local business venture. The business owner then reveals there is slightly more competition in the market than first mentioned. Do you maintain your original commitment or pull back?,"I’ll stick with the original plan. The extra competition just means we’ll have to work a little harder—it doesn’t change the core opportunity. I’ve already done the research, and I trust the owner’s ability to adapt. Pulling out now would feel like leaving money on the table without giving it a real shot.","I think I need to step back and reassess. The new information changes the risk profile, and I didn’t sign up for this level of uncertainty. I’d rather wait until the owner can show a clearer path to standing out in the market before committing more of my savings.","I'm not sure, to be honest. I was excited about the idea of supporting a local business, but now that I know there's more competition, I'm starting to wonder if it's such a good idea after all. I might ask the business owner if they've thought of any ways to differentiate themselves from the competition before I make a decision.",-170.0,-96.5,-183.0,-114.0,-73.5,-69.0,0.45,0.610639233949222,True
Mexico_adapter,US,USA,US_0335,altruism,"After completing a home repair project yourself, you spend far less than the contractor quote you had budgeted for. A local animal shelter is struggling to cover veterinary costs. Do you donate any of the money you saved to the shelter?","I’d set aside about half of what I saved—enough to feel the impact without straining my own finances. The shelter’s needs are urgent, and since I didn’t expect this money, it feels right to share it where it can help the most. I’ll drop off the donation tomorrow and maybe even volunteer a few hours to see how else I can support them.","I’ll put the entire amount into my emergency fund or use it to upgrade my tools for future projects. While the shelter does good work, I earned this savings through my own effort, and I’d rather invest it in something that directly benefits me or my family. If I have extra later, I might consider donating, but not with this windfall.","I don't know, I was thinking about using the extra money to put it towards a new kitchen appliance I've been wanting to get. We could always use a new stove, and it would be nice to have one that's more energy-efficient. Maybe after we've saved up a bit more, we could consider donating something, but for now, it's not a priority.",-158.0,-141.0,-196.0,-155.0,-17.0,-41.0,-2.4000000000000004,0.08317269649392235,False
Mexico_adapter,US,USA,US_0342,trust,A community tool-sharing group receives a request from someone who just joined to borrow a high-value power drill for a weekend project before they have contributed any tools themselves.,"I’ll leave the drill in the shed with a note—just bring it back by Monday with a full battery. Most folks around here look out for each other, and I figure they’ll do the same once they see how the group works. If it’s not returned, we can always adjust the rules for new members later.","I’d suggest they start with something smaller, like a hand tool, to show they’re reliable. We’ve had issues before with people borrowing things and not bringing them back, and it’s not fair to those who’ve already contributed. Once they’ve been part of the group for a while, we can revisit lending bigger items.","I don't know, I've only been a member for a few weeks myself, but it seems like they just joined yesterday. I'd be willing to lend them a smaller drill or something, but a high-value power drill seems like a pretty big ask when they haven't even given anything back yet.",-163.0,-132.0,-172.0,-131.0,-31.0,-41.0,-1.0,0.2689414213699951,False
